delta_days,proba_open
0,0.2688489671248292
1,0.2625126033474491
2,0.25476291492413683
3,0.2658504502681372
4,0.2602684264863661
5,0.26799183062706006
6,0.27066744612655474
7,0.24422799422799424
8,0.24822381888973627
9,0.2505580244927507
10,0.25889746017039617
11,0.26395959514658834
12,0.12275412998914748
13,0.1243687374749499
14,0.12367934101354981
15,0.1240262198402104
16,0.12337001018431615
17,0.12612053785817193
18,0.12761405893878203
19,0.12933375938648348
20,0.13093175617818667
21,0.13152789325731482
22,0.1306002696058996
23,0.13186813186813187
24,0.13740640433328022
25,0.14190886257624685
26,0.1443718112244898
27,0.14462883831859286
28,0.1441211401425178
29,0.14703781595968413
30,0.00017899405341978083
